City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Kushmurun,KZ,67.26,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
12,Rikitea,PF,75.13,few clouds,-23.1203,-134.9692,People ThankYou
13,Lata,PT,76.08,overcast clouds,40.1629,-8.3327,Casa Maquia
15,Flin Flon,CA,77.79,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
16,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
20,Jega,NG,79.02,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
23,Faanui,PF,78.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Lagoa,PT,69.04,overcast clouds,39.05,-27.9833,Casa Das Faias
25,Phonhong,LA,77.67,overcast clouds,18.5007,102.4166,Manyvong Guest House
28,Hithadhoo,MV,83.41,few clouds,-0.6,73.0833,Scoop Guest House
29,Awbari,LY,81.01,clear sky,26.5921,12.7805,فندق أوباري
39,Atuona,PF,77.77,few clouds,-9.8,-139.0333,Villa Enata
40,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
45,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
46,Gusau,NG,76.77,overcast clouds,12.1628,6.6614,GUEST INN
51,Ponta Do Sol,PT,68.72,scattered clouds,32.6667,-17.1,Hotel do Campo
63,Waingapu,ID,78.4,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
66,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
67,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Ponta Delgada,PT,73.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
71,Sompeta,IN,79.79,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
72,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
74,El Tocuyo,VE,71.64,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
75,Puerto Ayora,EC,70.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,College,US,80.01,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
85,San Jose,US,84.85,few clouds,37.3394,-121.895,The Westin San Jose
86,North Platte,US,84.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
87,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
89,Wuwei,CN,76.98,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
90,Jodhpur,IN,79.54,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
91,Millau,FR,68.13,clear sky,44.0833,2.9167,La Villa Des Raspes
93,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
94,Broome,US,72.81,clear sky,42.2506,-75.833,Chenango Valley State Park
95,Mareeba,AU,72.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
96,Jamestown,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
97,Mehamn,NO,67.95,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
99,Yellowknife,CA,70.32,smoke,62.456,-114.3525,The Explorer Hotel
102,Kpandae,GH,72.18,broken clouds,8.4689,-0.0113,Catholic Guest House
104,Champerico,GT,80.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
105,Lamballe,FR,70.74,few clouds,48.4676,-2.5144,Hôtel Kyriad Lamballe
106,Santarem,BR,78.93,thunderstorm,-2.4431,-54.7083,Hotel Imperador
107,Eston,CA,84.92,overcast clouds,51.1501,-108.7514,Hearthside Place B&B
113,Pingliang,CN,67.14,overcast clouds,35.5392,106.6861,North Gate Hostel
116,Bethel,US,79.65,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
123,Impfondo,CG,72.0,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
125,Jesup,US,78.35,clear sky,31.6074,-81.8854,Western Motel
126,Dabakala,CI,71.44,overcast clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
127,La Asuncion,VE,74.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
129,Butaritari,KI,82.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
130,Grand Gaube,MU,68.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
132,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Tenosique,MX,73.0,overcast clouds,17.4833,-91.4333,Hotel Central
136,Caravelas,BR,69.78,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
142,Zaozerne,UA,66.47,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
144,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Ribeira Grande,PT,70.11,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
148,Valera,VE,71.69,overcast clouds,9.3178,-70.6036,Hotel Camino Real
150,Half Moon Bay,US,80.55,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
151,Mercato San Severino,IT,73.15,clear sky,40.7812,14.7569,Hotel Dei Principati
154,Nipawin,CA,77.04,clear sky,53.3668,-104.0009,Tobin Lake Motel
155,Rodrigues Alves,BR,74.77,broken clouds,-7.738,-72.6509,Pousada Aconchego
156,Khategaon,IN,77.02,moderate rain,22.6,76.9167,savariya Lodge
157,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
160,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
162,Bengkulu,ID,77.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Tateyama,JP,77.05,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
164,Salinas,US,74.21,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
166,Krasnyy Chikoy,RU,71.37,clear sky,50.3643,108.7512,Persona
167,Mnogovershinnyy,RU,70.97,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
169,Carnarvon,AU,70.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
174,Itacare,BR,70.7,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
177,Karla,EE,66.16,clear sky,59.3723,24.9275,River Villa
179,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
180,Wanning,CN,83.44,overcast clouds,18.8003,110.3967,Paradise Hotel
181,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
183,Itarema,BR,77.52,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
184,Vao,NC,73.42,light rain,-22.6667,167.4833,Hotel Kou-Bugny
189,Acarau,BR,77.7,few clouds,-2.8856,-40.12,castelo pizzaria
190,Pacific Grove,US,68.81,scattered clouds,36.6177,-121.9166,Lovers Point Inn
191,Westport,US,79.09,scattered clouds,41.1415,-73.3579,The Westport Inn
194,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
199,The Valley,AI,82.81,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
202,Saint Anthony,US,76.48,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
204,Bubaque,GW,80.26,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
206,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
208,Angoche,MZ,70.65,clear sky,-16.2325,39.9086,Guest House HESADA
209,Warri,NG,73.99,overcast clouds,5.5167,5.75,GT Guesthouse
212,Shihezi,CN,81.81,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
213,Awjilah,LY,74.77,clear sky,29.1081,21.2869,المنزل
217,Hamilton,US,80.04,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
219,Ugoofaaru,MV,81.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
220,Kavieng,PG,84.97,few clouds,-2.5744,150.7967,Nusa Island Retreat
221,Northam,GB,66.38,broken clouds,51.0333,-4.2167,Durrant House Hotel
222,Bowen,AU,68.74,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
223,Yarmouth,US,75.15,clear sky,41.7057,-70.2286,Blue Rock Resort
225,Cortez,US,79.56,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
227,Puerto El Triunfo,SV,79.38,broken clouds,13.2833,-88.55,Hotel Jardin
228,Ambon,ID,78.24,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
230,Owando,CG,74.39,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
235,Nantucket,US,73.99,clear sky,41.2835,-70.0995,Jared Coffin House
236,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Port Hedland,AU,71.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
242,Erzin,TR,73.08,few clouds,36.9559,36.2,Artemis Otel
243,Mujiayingzi,CN,84.87,scattered clouds,42.1167,118.7833,Jinjiang Hotel
244,Merseburg,DE,65.01,clear sky,51.3667,12.0,Best Western Hotel Halle-Merseburg
246,Brazzaville,CG,68.31,few clouds,-4.2658,15.2832,Hotel Muesse
247,Omboue,GA,69.67,broken clouds,-1.5746,9.2618,Hotel Olako
249,Caracuaro,MX,80.11,overcast clouds,19.0106,-101.1264,Hotel Juana
251,Muros,ES,74.16,few clouds,42.7762,-9.0603,Apartment Av. Castelao
252,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
254,Batouri,CM,67.71,overcast clouds,4.4333,14.3667,Hotel Hollywood
258,Mogadouro,PT,76.01,broken clouds,41.3403,-6.7119,Pensão Russo
259,Bereda,ES,70.41,clear sky,43.2686,-7.5406,Pazo de Verdes
261,Seoul,KR,74.8,heavy intensity rain,37.5683,126.9778,Lotte Hotel Seoul
262,North Bend,US,69.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
263,Puerto Madero,MX,82.6,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
264,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
265,Touros,BR,75.13,clear sky,-5.1989,-35.4608,INN NEW HORIZON
267,Mayumba,GA,68.5,few clouds,-3.432,10.6554,LIKWALE LODGE
269,Masallatah,LY,71.29,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
271,Oriximina,BR,79.59,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
274,Katobu,ID,82.83,few clouds,-4.9408,122.5276,La Ode Husein
275,Cumbum,IN,74.34,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
276,Yamada,JP,71.28,light rain,39.4667,141.95,Iroha-ya Inn
279,Tangzhai,CN,83.41,overcast clouds,34.4328,116.5911,Huilong Business Hotel
285,Port Blair,IN,82.47,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
286,Ushtobe,KZ,76.05,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
287,Petropavlovsk-Kamchatskiy,RU,70.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
290,Guerrero Negro,MX,67.3,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
292,Turbat,PK,83.55,broken clouds,26.0023,63.044,Mubashar Quarters
294,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
295,Ormara,PK,83.5,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
296,Turiacu,BR,73.31,scattered clouds,-1.6633,-45.3717,Pousada Maranata
298,Brokopondo,SR,76.6,overcast clouds,4.75,-55.1667,Matu Island
299,Banda Aceh,ID,82.49,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
300,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Pousada Tropical
301,Pouebo,NC,75.94,overcast clouds,-20.4,164.5667,RIVÂT LODGE
302,Divnoye,RU,70.18,broken clouds,45.9089,43.3547,Motel Manych-Gudilo
303,Porto Walter,BR,71.56,scattered clouds,-8.2686,-72.7439,Hotel Silva
304,Mormugao,IN,79.03,light rain,15.4,73.8,Coconut Creek Resort
305,Powell River,CA,73.08,broken clouds,49.8496,-124.5361,Rodmay Hotel
306,Shache,CN,78.13,overcast clouds,38.4167,77.2406,Delong Hotel
308,Salinopolis,BR,77.04,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
309,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
312,Bismarck,US,80.44,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
316,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
317,Katherine,AU,68.32,few clouds,-14.4667,132.2667,Pine Tree Motel
319,Kudahuvadhoo,MV,81.37,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Puri,IN,81.12,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
322,Buraydah,SA,82.85,overcast clouds,26.326,43.975,Mövenpick Qassim
324,Ust-Tsilma,RU,71.73,clear sky,65.441,52.1498,U Praskov'i
326,Chakwal,PK,83.93,overcast clouds,32.9334,72.8585,Uet Boys Hostel
329,Innisfail,AU,69.58,broken clouds,-17.5333,146.0333,Moondarra Motel
334,Williston,US,77.74,scattered clouds,48.147,-103.618,Hampton Inn & Suites Williston
338,Brigantine,US,77.04,light rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
341,Amahai,ID,78.94,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
342,Magdagachi,RU,72.64,overcast clouds,53.45,125.8,Motopolyana Magdagachi
343,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
344,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
346,Methoni,GR,75.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
349,Ombessa,CM,68.68,overcast clouds,4.603,11.2565,Hotel Elma**
351,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
352,Leshukonskoye,RU,68.47,clear sky,64.8989,45.7622,Pryalitsa Hostel
357,Mouila,GA,68.79,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
362,Zaraza,VE,73.72,broken clouds,9.3503,-65.3245,Hotel Zaraza
363,Biltine,TD,83.32,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
366,Gilgit,PK,79.63,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
367,Tripoli,LY,76.57,clear sky,32.8752,13.1875,Al Waddan Hotel
371,Biak,ID,78.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
372,Les Cayes,HT,78.82,clear sky,18.2,-73.75,Villa Orphee
379,Samarai,PG,79.92,broken clouds,-10.6167,150.6667,Nuli Sapi
383,Mogadishu,SO,75.49,broken clouds,2.0371,45.3438,Hotel Juba
385,Puerto Narino,CO,75.94,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
387,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
388,Malakal,SS,70.54,broken clouds,9.5334,31.6605,Nile Palace Hotel
389,Bria,CF,68.54,overcast clouds,6.5423,21.9863,WFP Guesthouse
